Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.96099854,87.4260025,86.70500183,86.0490036,85.43599701,84.6740036,83.87200165,83.0490036,82.47699738,81.95200348,81.47899628,81.03299713,80.56800079,80.2480011,79.88999939,79.63700104,79.90000153,80.20200348,80.11000061,80.04299927,79.88999939,79.76300049,79.66000366,79.54399872,79.83899689,80.06600189,80.19400024,80.2559967,80.15499878,79.11599731,79.78399658
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.92599869,35.18000031,35.27500153,35.17499924,35.5909996,35.53099823,36.27700043,36.78900146,38.75699997,40.02899933,38.96500015,39.25,39.51599884,40.58800125,41.34799957,41.54899979,42.60400009,43.34600067,43.13899994,43.65100098,43.65800095,43.61000061,43.86100006,44.26100159,44.27500153,44.1590004,45.29700089,46.77600098,47.37900162,46.69499969,47.11199951
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.63700104,56.64599991,57.38999939,58.13999939,58.93399811,59.72700119,60.54499817,61.38100052,62.25,63.14400101,64.06400299,65.01399994,65.41600037,65.82499695,66.22799683,66.64800262,67.06700134,67.47799683,67.88300323,68.3010025,67.58300018,65.9980011,64.36000061,62.63100052,60.81700134,59.02199936,57.18799973,55.30400085,55.35300064,54.72700119,54.74100113
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.20899963,76.17500305,75.20300293,74.15499878,73.12400055,72.06500244,70.89800262,69.72899628,68.41600037,67.02999878,65.68900299,64.26399994,62.85499954,60.9620018,59.1269989,57.93199921,57.74599838,57.32799911,56.88999939,56.54499817,56.15599823,55.80099869,55.46500015,55.14599991,55.12200165,55.11999893,55.10400009,55.09500122,55.11999893,54.43899918,55.00099945
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.59499931,25.73500061,25.9260006,26.14699936,26.38800049,26.58399963,26.72800064,26.88699913,27.04999924,27.19599915,27.21999931,27.26199913,27.28899956,27.15399933,27.00099945,27.26099968,27.54400063,27.85300064,28.15699959,29.42700005,29.47800064,29.5340004,29.60099983,30.0170002,30.43199921,30.84799957,34.02299881,34.25500107,34.43999863,33.79000092,34.30500031
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.68199921,45.71699905,44.18000031,45.05599976,44.90200043,43.20199966,41.62400055,41.43299866,39.33100128,37.59999847,37.69300079,38.06499863,38.88800049,40.17900085,40.0530014,42.04899979,44.01599884,45.54999924,44.37400055,43.20000076,42.4469986,42.65999985,42.82300186,43.5719986,44.48600006,44.34600067,46.57400131,46.92900085,48.33000183,46.84500122,46.56700134
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.87400055,28.45499992,29.09499931,29.61800003,30.2670002,30.90399933,31.5510006,32.2480011,32.97700119,33.76699829,34.57400131,35.39099884,36.1969986,36.89500046,37.58000183,38.3370018,39.18899918,40.08399963,41.03900146,41.99700165,40.93199921,41.125,41.32300186,41.35599899,41.38399887,41.59600067,41.9280014,42.43500137,42.73899841,40.95199966,41.35300064
"Bahamas, The",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.27600098,55.2820015,57.58800125,56.52099991,59.18899918,57.5,60.3429985,60.77899933,62.2859993,63.3030014,64.27200317,62.58399963,60.73500061,61.01499939,61.07799911,63.29000092,62.4640007,61.87400055,57.99399948,57.51499939,56.93399811,58.01800156,56.06100082,57.08000183,58.01599884,57.00899887,59.19100189,60.24200058,60.10599899,55.44900131,57.26100159
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.02899933,24.49600029,23.72200012,22.86000061,22.21699905,21.86100006,21.55200005,21.2670002,21.0739994,20.68499947,20.55900002,20.52400017,20.52099991,20.39699936,20.36100006,20.25300026,20.84399986,23.75399971,24.43499947,23.85400009,23.84300041,23.65399933,24.13500023,24.45000076,24.56699944,24.38899994,27.22500038,27.80900002,30.01799965,29.73800087,32.43799973
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.84400177,51.59600067,49.10699844,47.29000092,45.30699921,42.32600021,45.28900146,46.62599945,47.32300186,48.15299988,48.93600082,49.58200073,50.11800003,50.57600021,51.18700027,51.79999924,52.49499893,53.18600082,53.98699951,54.31000137,54.72100067,55.07400131,55.31600189,55.50299835,55.72100067,55.8429985,55.77999878,55.57500076,55.97999954,55.5909996,55.91799927
